model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
J000101329	J000103067	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01237	TM01237F560P0245P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01346	TM01346F911P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000111787	J000114180	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00927	OV11094F172P0118P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01258	TM01258F643P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01617	TM01617F486P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01149	TM01149FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01125	TM01125F136P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01120	CNSTG0001F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01149	TM01149F093P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099327	J000101348	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01245	TM01245F588P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01085	TM01085F061P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01340	TM01340F885P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000108931	J000111664	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01355	TM01355F932P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00360	SA0082F006P0000P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00263	LG1287F122P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00253	LG1260F097P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000111644	J000115122	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00334	OV1110F024P0000P1008P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01048	CN1641F116P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01075	CN1032F136P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01500	TM01500F25P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01063	AN0011F206P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000093018	J000094915	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099257	J000103717	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00089	BR0620F039P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00020	BL0382F1232P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00927	OV11094F172P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01168	TM01168F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00355	LG0551F552P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00165	CN0446F447P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01245	TM01245F589P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000098169	J000100945	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000104117	SGJ104123F001P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000100646	J000102435	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01048	CN1641F116P0147P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099761	J000102547	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00090	BR0744F098P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000080230	SGJ80246F004P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00113	BR1180FPT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000079689	J000079689PT	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00058	BN218F002P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01117	TM01117F270P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000099318	J000103814	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101329	SGJ101345F001P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01092	TM01092F015P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01135	TM01135F151P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01258	TM01258F643P0216P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00702	SK1260F017P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000102326	SGJ102326F001P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00208	LG0830F1385P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00228	LG1186F1901P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01127	SA1208005F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00078	BN301F001P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01446	TM01446F1264P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01386	TM01386F1075P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00188	LG0520F433P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000103634	J000105168	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01264	TM01264F667P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00233	LG1202F380P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00334	OV1110F024P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00849	CNC1021FP0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00198	LG0671F888P0001P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00186	LG0481F231P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000101892	J000103179	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00076	BN291F090P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00327	OVJX01F000P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNPTN
TM00327	OVJX01F021P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNPTN
TM01443	TM01443F1246P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM01087	TM01087F108P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
J000107333	J000110072	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00857	CN1294F052P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
TM00694	LG1202F002P0054P1	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	SNP
