model_id	sample_id	sample_origin	passage	host_strain_nomenclature	platform_id
TM00134	CN0330F215P0000P1013P2	xenograft	2	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000101892	J000103178	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00229	LG1189F1952P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01634	TM01634F556P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000103917	J000106042	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000100365	J000103115	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00916	OM1058F141P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00375	CN001573F2130P3	xenograft	3	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00134	CN0330F214P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM01509	TM01509F041P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000104314	J000105748	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000116474	J000117394	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00190	LG0542F535P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hg10st
TM00097	BR1077F016P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM01617	TM01617F486P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000104720	J000111337	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00896	CN1024F074P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
J000101173	J000103531	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
TM00335	OV1828F082P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00887	CNC1022F066P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	hu133
TM00016	BL0293F563P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000106560	J000107874	xenograft	7	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00314	PA0258F006P0	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000080230	SGJ80246F004P4	xenograft	4	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
TM00784	LG1208aF003	xenograft	1	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
J000100672	J000102691	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	stRNA_Seq
J000099999	J000100809	xenograft	0	NOD.Cg-Prkdcscid Il2rgtm1Wjl/SzJ	RNA_Seq
